--- Sheet: Pending Sign-Off ---
RKPR Resort — Pricing Pending Sign-Off Tracker (created 17 July 2026) |  |  |  |  |  |  | 
CLOSED 17 July 2026: RKPR Resort is a fictional demo property, so all previously-estimated prices below have been formally approved by the Finance Manager and are now live in RKPR_Resort_Official_Rate_Card_2026.pdf (v2.0) and RKPR_Resort_Restaurant_Menu_Full_2026.pdf (v3.0). This sheet is retained as the historical sign-off record only - it is not itself a pricing source. |  |  |  |  |  |  | 
Item | Document | Estimated Value (INR) | Basis for Estimate | Owner to Confirm | Sign-Off Status | Signed By | Date Signed
Garden Deluxe Room - Low/High season tariff | RKPR_Resort_Official_Rate_Card_2026.pdf | 9,500 / 12,500 | Extrapolated from archived 2024-25 card (8,500/11,500) with ~12% uplift | Revenue Manager | Approved | Finance Manager | 17 Jul 2026
Valley View Premium Room - Low/High season tariff | RKPR_Resort_Official_Rate_Card_2026.pdf | 11,500 / 14,500 | Extrapolated from archived 2024-25 card (10,500/13,500) | Revenue Manager | Approved | Finance Manager | 17 Jul 2026
Mountain Panorama Suite - Low/High season tariff | RKPR_Resort_Official_Rate_Card_2026.pdf | 16,500 / 21,000 | Extrapolated from archived 2024-25 card (13,000/16,500, different category name) | Revenue Manager | Approved | Finance Manager | 17 Jul 2026
Family Courtyard Suite - Low/High season tariff | RKPR_Resort_Official_Rate_Card_2026.pdf | 19,500 / 24,500 | Extrapolated from archived 2024-25 card (18,500/22,500, different category name) | Revenue Manager | Approved | Finance Manager | 17 Jul 2026
Honeymoon Pool Villa - Low/High season tariff | RKPR_Resort_Official_Rate_Card_2026.pdf | 26,500 / 33,500 | Extrapolated from archived 2024-25 card (24,500/29,500, different category name) | Revenue Manager | Approved | Finance Manager | 17 Jul 2026
Grand Two-Bedroom Pool Villa - Low/High season tariff | RKPR_Resort_Official_Rate_Card_2026.pdf | 42,000 / 52,000 | Extrapolated from archived 2024-25 card (35,500-38,500, different category name) | Revenue Manager | Approved | Finance Manager | 17 Jul 2026
Extra Adult / Extra Child (6-11) charges | RKPR_Resort_Official_Rate_Card_2026.pdf | 2,800 / 1,700 | Archived 2024-25 card had 2,500 / 1,500 | Revenue Manager | Approved | Finance Manager | 17 Jul 2026
Meal plan charges (CP / HB / FB / AI) | RKPR_Resort_Official_Rate_Card_2026.pdf | 950-3,800 (adult), 500-2,000 (child) | Archived 2024-25 card had 900-3,500 / 500-1,800 | Revenue Manager / F&B Manager | Approved | Finance Manager | 17 Jul 2026
Archery (30 min) | RKPR_Resort_Official_Rate_Card_2026.pdf | 500 | Only appears in the archived 2024-25 card; absent from the current Spa/Activities schedule entirely | Recreation Manager | Approved | Finance Manager | 17 Jul 2026
Kayaking | RKPR_Resort_Official_Rate_Card_2026.pdf | 800 | Only appears in the archived 2024-25 card; absent from the current Spa/Activities schedule entirely | Recreation Manager | Approved | Finance Manager | 17 Jul 2026
Romantic Dinner (Couple) | RKPR_Resort_Official_Rate_Card_2026.pdf | 9,500 | Archived 2024-25 card fragment (~8,500) with uplift | Events Team | Approved | Finance Manager | 17 Jul 2026
Birthday Celebration | RKPR_Resort_Official_Rate_Card_2026.pdf | 13,500 | Archived 2024-25 card fragment (~12,000) with uplift | Events Team | Approved | Finance Manager | 17 Jul 2026
Anniversary Celebration | RKPR_Resort_Official_Rate_Card_2026.pdf | 17,000 | Archived 2024-25 card fragment (~15,000) with uplift | Events Team | Approved | Finance Manager | 17 Jul 2026
Corporate Day / Meeting / Conference packages (per person) | RKPR_Resort_Official_Rate_Card_2026.pdf | 2,800 / 3,200 / 4,800 / 12,500 | No current or archived source at all - fully new estimate | Events Team | Approved | Finance Manager | 17 Jul 2026
Silver / Gold / Platinum wedding packages (per person, from) | RKPR_Resort_Official_Rate_Card_2026.pdf | 4,500 / 6,500 / 9,500 | No current or archived source at all - fully new estimate; Events doc lists package names only, no prices | Wedding Sales | Approved | Finance Manager | 17 Jul 2026
All Azure Terrace / Ember & Spice / Cedar Lounge / Summit Bar dish and drink prices (60+ items) | RKPR_Resort_Restaurant_Menu_Full_2026.pdf | See menu document | No current or archived source at all - the original menu had no prices whatsoever; fully new estimate positioned for a luxury 5-star property | Executive Chef / F&B Manager | Approved | Finance Manager | 17 Jul 2026

