image_id,filename,title,category,asset_code,caption,alt_text,tags,related_document,related_room,related_amenity,source_document,source_page,visibility,source_id
IMG-001,Images/Rooms/GDR-01_Garden_Deluxe_Room_-_king-bed_room_overv.jpg,Garden Deluxe Room - king-bed room overview,Rooms,GDR-01,Garden Deluxe Room - king-bed room overview,Garden Deluxe Room - king-bed room overview at RKPR Resort.,"rooms, rkpr resort, garden deluxe room",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Garden Deluxe Room,,RKPR_Room_Catalogue_Image.pdf,1,Guest-visible,SRC-021
IMG-002,Images/Rooms/GDR-02_Garden_Deluxe_Room_-_bathroom.jpg,Garden Deluxe Room - bathroom,Rooms,GDR-02,Garden Deluxe Room - bathroom,Garden Deluxe Room - bathroom at RKPR Resort.,"rooms, rkpr resort, garden deluxe room",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Garden Deluxe Room,,RKPR_Room_Catalogue_Image.pdf,1,Guest-visible,SRC-021
IMG-003,Images/Rooms/GDR-03_Garden_Deluxe_Room_-_private_balcony.jpg,Garden Deluxe Room - private balcony,Rooms,GDR-03,Garden Deluxe Room - private balcony,Garden Deluxe Room - private balcony at RKPR Resort.,"rooms, rkpr resort, garden deluxe room",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Garden Deluxe Room,,RKPR_Room_Catalogue_Image.pdf,1,Guest-visible,SRC-021
IMG-004,Images/Rooms/GDR-04_Garden_Deluxe_Room_-_landscaped_garden_v.jpg,Garden Deluxe Room - landscaped garden view,Rooms,GDR-04,Garden Deluxe Room - landscaped garden view,Garden Deluxe Room - landscaped garden view at RKPR Resort.,"rooms, rkpr resort, garden deluxe room",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Garden Deluxe Room,,RKPR_Room_Catalogue_Image.pdf,1,Guest-visible,SRC-021
IMG-005,Images/Rooms/VPR-01_Valley_View_Premium_Room_-_bedroom.jpg,Valley View Premium Room - bedroom,Rooms,VPR-01,Valley View Premium Room - bedroom,Valley View Premium Room - bedroom at RKPR Resort.,"rooms, rkpr resort, valley view premium room",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Valley View Premium Room,,RKPR_Room_Catalogue_Image.pdf,1,Guest-visible,SRC-021
IMG-006,Images/Rooms/VPR-02_Valley_View_Premium_Room_-_valley_view.jpg,Valley View Premium Room - valley view,Rooms,VPR-02,Valley View Premium Room - valley view,Valley View Premium Room - valley view at RKPR Resort.,"rooms, rkpr resort, valley view premium room",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Valley View Premium Room,,RKPR_Room_Catalogue_Image.pdf,1,Guest-visible,SRC-021
IMG-007,Images/Rooms/VPR-03_Valley_View_Premium_Room_-_bathroom_with.jpg,Valley View Premium Room - bathroom with soaking tub,Rooms,VPR-03,Valley View Premium Room - bathroom with soaking tub,Valley View Premium Room - bathroom with soaking tub at RKPR Resort.,"rooms, rkpr resort, valley view premium room",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Valley View Premium Room,,RKPR_Room_Catalogue_Image.pdf,2,Guest-visible,SRC-021
IMG-008,Images/Rooms/VPR-04_Valley_View_Premium_Room_-_balcony.jpg,Valley View Premium Room - balcony,Rooms,VPR-04,Valley View Premium Room - balcony,Valley View Premium Room - balcony at RKPR Resort.,"rooms, rkpr resort, valley view premium room",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Valley View Premium Room,,RKPR_Room_Catalogue_Image.pdf,2,Guest-visible,SRC-021
IMG-009,Images/Rooms/MPS-01_Mountain_Panorama_Suite_-_suite_overview.jpg,Mountain Panorama Suite - suite overview,Rooms,MPS-01,Mountain Panorama Suite - suite overview,Mountain Panorama Suite - suite overview at RKPR Resort.,"rooms, rkpr resort, mountain panorama suite",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Mountain Panorama Suite,,RKPR_Room_Catalogue_Image.pdf,2,Guest-visible,SRC-021
IMG-010,Images/Rooms/MPS-02_Mountain_Panorama_Suite_-_mountain_view.jpg,Mountain Panorama Suite - mountain view,Rooms,MPS-02,Mountain Panorama Suite - mountain view,Mountain Panorama Suite - mountain view at RKPR Resort.,"rooms, rkpr resort, mountain panorama suite",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Mountain Panorama Suite,,RKPR_Room_Catalogue_Image.pdf,2,Guest-visible,SRC-021
