--- Sheet: Image Rights Register ---
RKPR Resort — Image Rights Register (created 17 July 2026, Task 4 audit) |  |  |  |  |  |  |  |  |  |  |  | 
Every image in 02_MEDIA_INDEXABLE/Images/ is listed below. Honest disclosure: these images were extracted from PDF documents already present in the original RKPR Resort document upload; their true original photographer, licence and commercial-use terms were never disclosed to this project and are NOT independently verifiable from the source files. Do not mark any image 'Public Demo Approved = Yes' until the resort's marketing/legal team confirms real provenance or the images are replaced with confirmed-licence or resort-owned photography. |  |  |  |  |  |  |  |  |  |  |  | 
Image ID | Image File | Category | Original Source | Source URL | Photographer / Creator | AI Generated (Y/N) | License | Attribution Required | Commercial Use Allowed | Public Demo Approved | Internal Only | Notes
IMG-001 | Images/Rooms/GDR-01_Garden_Deluxe_Room_-_king-bed_room_overv.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 1. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-002 | Images/Rooms/GDR-02_Garden_Deluxe_Room_-_bathroom.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 1. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-003 | Images/Rooms/GDR-03_Garden_Deluxe_Room_-_private_balcony.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 1. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-004 | Images/Rooms/GDR-04_Garden_Deluxe_Room_-_landscaped_garden_v.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 1. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-005 | Images/Rooms/VPR-01_Valley_View_Premium_Room_-_bedroom.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 1. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-006 | Images/Rooms/VPR-02_Valley_View_Premium_Room_-_valley_view.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 1. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-007 | Images/Rooms/VPR-03_Valley_View_Premium_Room_-_bathroom_with.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 2. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-008 | Images/Rooms/VPR-04_Valley_View_Premium_Room_-_balcony.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 2. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-009 | Images/Rooms/MPS-01_Mountain_Panorama_Suite_-_suite_overview.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 2. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-010 | Images/Rooms/MPS-02_Mountain_Panorama_Suite_-_mountain_view.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 2. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
